------------------------------------------------------------

[10:00:23:000]	recv [D1] (8) C011021509342200
[12:08:25:471]	CPUCard cmd: (5)805C000204 -> [9000](6)000015E09000
[12:08:25:658]	CPUCard cmd: (5)0084000004 -> [9000](6)86540E5A9000
[12:08:25:861]	send [EA] (74) 000000FFFF1102150C0828010A0000003935000000009998999999991234000000019000000190909098040000062017022112082500000064000015E00CE74407011484131779109381
[12:08:39:402]	send [EA] (110) 000000FFFF1102150C0828010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111504053544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[12:08:40:431]	recv [EA] (40) 1102150C0828010A0000001835000001000000009998000199999999900000019090909800000000
[12:08:40:962]	recv [EA] (29) 1102150C0828010A0000000D3000000000000099989999999900000000
[12:08:41:227]	CPUCard cmd: (5)0084000004 -> [9000](6)FE2851619000
[12:08:41:804]	send [EA] (54) 000000FFFF1102150C082B010A00000025320000000099989999999912340000000190000001909090980400008800000006FE285161
[12:08:42:241]	recv [EA] (61) 1102150C082B010A0000002D32000000000000999899999999000190000001909090980012201702210000000099980007FE285161BD5A69A600000000
[12:08:43:006]	CPUCard cmd: (21)04D6851810201702210000000099980007FE285161 -> [6988](2)6988
[12:09:05:282]	send [EA] (110) 000000FFFF1102150C0A00010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111504053544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[12:09:59:415]	recv [EA] (29) 1102150C0A00010A0000000D3000000000000099989999999900000000
[12:09:59:961]	send [EA] (110) 000000FFFF1102150C0A03010A0000005D3000000000999899999999123400000000000149F004999999990000011702211150484E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[12:10:02:925]	recv [EA] (29) 1102150C0A03010A0000000D3000000000000099989999999900000000
[12:10:03:377]	send [EA] (110) 000000FFFF1102150C0A06010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111511653544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[12:10:06:388]	recv [EA] (29) 1102150C0A06010A0000000D3000000000000099989999999900000000
[12:10:06:887]	send [EA] (110) 000000FFFF1102150C0A0A010A0000005D3000000000999899999999123400000000000149F004999999990000011702211151244E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[12:10:09:851]	recv [EA] (29) 1102150C0A0A010A0000000D3000000000000099989999999900000000
[12:10:10:335]	send [EA] (110) 000000FFFF1102150C0A0D010A0000005D300000000099989999999912340000000000014902010200002190000001909090982F7AF871040012340000201701111849390005000000000000000000000064000015182677AE910005000000009998000000001484131779109380
[12:10:13:283]	recv [EA] (29) 1102150C0A0D010A0000000D3000000000000099989999999900000000
[12:10:13:767]	send [EA] (110) 000000FFFF1102150C0A11010A0000005D3000000000999899999999123400000000000149F0049999999900000017022111591053544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[12:10:16:731]	recv [EA] (29) 1102150C0A11010A0000000D3000000000000099989999999900000000
[12:10:17:230]	send [EA] (110) 000000FFFF1102150C0A14010A0000005D3000000000999899999999123400000000000149F004999999990000011702211159184E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[12:10:20:210]	recv [EA] (29) 1102150C0A14010A0000000D3000000000000099989999999900000000
[12:10:20:678]	send [EA] (110) 000000FFFF1102150C0A18010A0000005D3000000000999899999999123400000000000149F0049999999900000017022112020653544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[12:10:23:642]	recv [EA] (29) 1102150C0A18010A0000000D3000000000000099989999999900000000
[12:10:24:141]	recv [D1] (8) A01102150C0A1A00
[12:10:25:015]	send [EA] (110) 000000FFFF1102150C0A1B010A0000005D3000000000999899999999123400000000000149F004999999990000011702211202194E45545253543A72657365745F636F756E743D322C6C6173745F6572726F723D2D3200000024DF0100F800E07F01000000010000001D00000038
[12:10:26:699]	recv [EA] (29) 1102150C0A1B010A0000000D3000000000000099989999999900000000
[12:10:27:167]	send [EA] (110) 000000FFFF1102150C0A1E010A0000005D3000000000999899999999123400000000000149F0049999999900000017022112071353544152543A7273743D6F6B2C70736D3D6E2C666C6173683D6F6B2C706172616D3D6661756C7428333229000000000000000000000000000000
[12:10:30:085]	recv [EA] (29) 1102150C0A1E010A0000000D3000000000000099989999999900000000
[12:10:30:568]	send [EA] (110) 000000FFFF1102150C0A22010A0000005D3000000000999899999999123400000000000149F004999999990000011702211207224E45545253543A72657365745F636F756E743D312C6C6173745F6572726F723D300000000024DF0100F800E07F01000000010000001D00000038
[12:10:33:532]	recv [EA] (29) 1102150C0A22010A0000000D3000000000000099989999999900000000
[12:10:34:063]	send [EA] (110) 000000FFFF1102150C0A25010A0000005D300000000099989999999912340000000000014902010200002890000001909090982F7AF8710400123400002017011118493900060000000000000000000000640000157C0CE744070006000000009998000000001484131779109381
[12:10:37:011]	recv [EA] (29) 1102150C0A25010A0000000D3000000000000099989999999900000000
[12:10:37:495]	recv [D1] (8) A01102150C0A3800
[12:10:55:435]	recv [D1] (8) A01102150C0B1A00
[12:11:25:637]	recv [D1] (8) A01102150C0B3800
[12:11:55:916]	recv [D1] (8) A01102150C0C1B00
[12:12:26:196]	recv [D1] (8) A01102150C0C3900
[12:12:56:492]	recv [D1] (8) A01102150C0D1B00
[12:13:26:849]	recv [D1] (8) A01102150C0D3A00
[12:13:57:082]	recv [D1] (8) A01102150C0E1C00
[12:14:27:300]	recv [D1] (8) A01102150C0E3A00
[12:14:57:658]	recv [D1] (8) A01102150C0F1C00
[12:15:27:875]	recv [D1] (8) A01102150C0F3B00
[12:15:58:077]	recv [D1] (8) A01102150C101D00
[12:16:28:356]	recv [D1] (8) A01102150C103B00
[12:16:58:636]	recv [D1] (8) A01102150C111E00
[12:17:28:994]	recv [D1] (8) A01102150C120000
[12:17:59:227]	recv [D1] (8) A01102150C121E00
[12:18:29:444]	recv [D1] (8) A01102150C130000
[12:18:59:833]	recv [D1] (8) A01102150C131F00
[12:19:30:051]	recv [D1] (8) A01102150C140100
[12:20:00:253]	recv [D1] (8) A01102150C141F00
[12:20:30:626]	recv [D1] (8) A01102150C150100
[12:21:00:859]	recv [D1] (8) A01102150C152000
[12:21:31:092]	recv [D1] (8) A01102150C160200
[12:22:01:465]	recv [D1] (8) A01102150C162000
[12:22:31:698]	recv [D1] (8) A01102150C170200
[12:23:01:900]	recv [D1] (8) A01102150C172100
[12:23:32:258]	recv [D1] (8) A01102150C180300
[12:24:02:491]	recv [D1] (8) A01102150C182100
[12:24:32:724]	recv [D1] (8) A01102150C190400
[12:25:03:097]	recv [D1] (8) A01102150C192200
[12:25:33:299]	recv [D1] (8) A01102150C1A0400
[12:26:03:501]	recv [D1] (8) A01102150C1A2200
[12:26:33:781]	recv [D1] (8) A01102150C1B0500
[12:27:04:061]	recv [D1] (8) A01102150C1B2300
[12:27:34:418]	recv [D1] (8) A01102150C1C0500
[12:28:04:651]	recv [D1] (8) A01102150C1C2300
[12:28:34:869]	recv [D1] (8) A01102150C1D0600
[12:29:05:227]	recv [D1] (8) A01102150C1D2400
[12:29:35:444]	recv [D1] (8) A01102150C1E0600
[12:30:05:646]	recv [D1] (8) A01102150C1E2400
[12:30:35:926]	recv [D1] (8) A01102150C1F0700
[12:31:06:205]	recv [D1] (8) A01102150C1F2500
[12:31:36:579]	recv [D1] (8) A01102150C200700
[12:32:06:796]	recv [D1] (8) A01102150C202600
[12:32:36:998]	recv [D1] (8) A01102150C210800
[12:33:07:340]	recv [D1] (8) A01102150C212600
[12:33:37:573]	recv [D1] (8) A01102150C220800
[12:34:07:790]	recv [D1] (8) A01102150C222700
[12:34:38:133]	recv [D1] (8) A01102150C230900
[12:35:08:366]	recv [D1] (8) A01102150C232700
[12:35:38:552]	recv [D1] (8) A01102150C240900
[12:36:08:925]	recv [D1] (8) A01102150C242800
[12:36:39:174]	recv [D1] (8) A01102150C250A00
[12:37:09:376]	recv [D1] (8) A01102150C252800
[12:37:39:749]	recv [D1] (8) A01102150C260B00
[12:38:09:982]	recv [D1] (8) A01102150C262900
[12:38:40:199]	recv [D1] (8) A01102150C270B00
[12:39:10:573]	recv [D1] (8) A01102150C272900
[12:39:40:806]	recv [D1] (8) A01102150C280C00
[12:40:11:023]	recv [D1] (8) A01102150C282A00
[12:40:41:412]	recv [D1] (8) A01102150C290C00
[12:41:11:645]	recv [D1] (8) A01102150C292A00
[12:41:41:863]	recv [D1] (8) A01102150C2A0D00
[12:42:12:267]	recv [D1] (8) A01102150C2A2B00
[12:42:42:485]	recv [D1] (8) A01102150C2B0D00
[12:43:12:655]	recv [D1] (8) A01102150C2B2C00
[12:43:42:966]	recv [D1] (8) A01102150C2C0E00
[12:44:13:277]	recv [D1] (8) A01102150C2C2C00
[12:44:43:651]	recv [D1] (8) A01102150C2D0E00
[12:45:13:884]	recv [D1] (8) A01102150C2D2D00
[12:45:44:085]	recv [D1] (8) A01102150C2E0F00
[12:46:14:459]	recv [D1] (8) A01102150C2E2D00
[12:46:44:692]	recv [D1] (8) A01102150C2F0F00
[12:47:14:894]	recv [D1] (8) A01102150C2F2E00
[12:47:45:267]	recv [D1] (8) A01102150C301000
[12:48:15:516]	recv [D1] (8) A01102150C302E00
[12:48:45:717]	recv [D1] (8) A01102150C311100
[12:49:16:091]	recv [D1] (8) A01102150C312F00
[12:49:46:324]	recv [D1] (8) A01102150C321100
[12:50:16:510]	recv [D1] (8) A01102150C322F00
[12:50:46:883]	recv [D1] (8) A01102150C331200
[12:51:17:147]	recv [D1] (8) A01102150C333000
[12:51:47:349]	recv [D1] (8) A01102150C341200
[12:52:17:707]	recv [D1] (8) A01102150C343000
[12:52:47:940]	recv [D1] (8) A01102150C351300
[12:53:18:173]	CPUCard cmd: (14)00A4040009A00000000386980701 -> [9000](54)6F328409A00000000386980701A5259F0801029F0C1E544B9000000188000002900090000001909090982017020720200221FFFF9000
[12:53:23:352]	CPUCard cmd: (5)00B0950000 -> [9000](32)544B9000000188000002900090000001909090982017020720200221FFFF9000
[12:53:23:742]	CPUCard cmd: (5)00B0850000 -> [9000](42)040011884600201702082099123101000100000000100BB8201702080000000015310001000000009000
[12:53:24:210]	CPUCard cmd: (5)805C000204 -> [9000](6)000015E09000
[12:53:24:413]	CPUCard cmd: (5)0084000004 -> [9000](6)2404B4FC9000
[12:53:25:177]	send [EA] (54) 000000FFFF1102150C351A010A000000253200000000999899999999123400000002900000019090909804000188202002212404B4FC
[12:53:25:614]	recv [EA] (53) 1102150C351A010A0000002532000000000000999899999999000290000001909090980004202002212404B4FCE7DBD20700000000
[12:53:26:316]	recv [D1] (8) A01102150C353100
[12:53:48:468]	
